Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev,Algorithm
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.2720821823,0.979734716604,4.76112565879,3.22047551871,1.00449833106,Bayesian
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.2720821823,0.979734716604,4.76112565879,3.22047551871,1.00449833106,Bayesian
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.54032116002,1.37492894447,4.72511922093,3.61069057259,1.07937465836,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42}",1.56207144885,1.33962145407,4.72511922093,3.65989354343,1.08411884014,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.54032116002,1.37492894447,4.72511922093,3.61069057259,1.07937465836,DecisionTree
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.71155335712,1.51264900698,4.66789862367,3.59962195984,1.015370614,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'sgd', 'random_state': 42}",2.44451150598,2.2712167241,5.82097546383,4.81335821076,1.40501233477,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.71155335712,1.51264900698,4.66789862367,3.59962195984,1.015370614,DeepLearning
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 0.5, 'l1_ratio': 0.7, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Elastic
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",1.37266552575,1.1478302439,4.75210722987,3.27439936788,0.970709913115,GradientBoost
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'random_state': 42}",1.26570778934,1.00829534058,4.71029103991,3.34540013471,0.956761212804,GradientBoost
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'random_state': 42}",1.26570778934,1.00829534058,4.71029103991,3.34540013471,0.956761212804,GradientBoost
"{'model': <class 'sklearn.neighbors._regression.KNeighborsRegressor'>, 'n_neighbors': 5, 'weights': 'uniform'}",1.26590337817,1.04789888922,5.49602401401,3.40068524906,1.05630720684,k_Nearest
"{'model': <class 'sklearn.neighbors._regression.KNeighborsRegressor'>, 'n_neighbors': 10, 'weights': 'distance'}",1.34543432398,1.05276205273,4.65528628837,3.60231322392,1.10587804449,k_Nearest
"{'model': <class 'sklearn.neighbors._regression.KNeighborsRegressor'>, 'n_neighbors': 5, 'weights': 'uniform'}",1.26590337817,1.04789888922,5.49602401401,3.40068524906,1.05630720684,k_Nearest
"{'model': <class 'sklearn.linear_model._coordinate_descent.Lasso'>, 'alpha': 1.0, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Lasso
"{'model': <class 'sklearn.linear_model._coordinate_descent.Lasso'>, 'alpha': 0.5, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Lasso
"{'model': <class 'sklearn.linear_model._coordinate_descent.Lasso'>, 'alpha': 1.0, 'random_state': 42}",3.89202326895,3.73458656983,8.69062984356,7.28431402384,1.95349124387,Lasso
"{'model': 'PCR', 'n_components': 3}",1.89079588067,1.68112720087,4.97719368014,3.88553338715,1.10449393299,PCR
"{'model': 'PCR', 'n_components': 3}",1.89079588067,1.68112720087,4.97719368014,3.88553338715,1.10449393299,PCR
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 2}",3.06880640601,2.73936959586,8.7854673187,5.83535445275,1.61160466775,PLSRegression
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 3}",1.88839008322,1.67653952743,4.95794122445,3.87261710856,1.10602543422,PLSRegression
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 3}",1.88839008322,1.67653952743,4.95794122445,3.87261710856,1.10602543422,PLSRegression
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 10, 'max_depth': 5, 'random_state': 42}",1.65653531232,1.50902781957,4.37853835251,3.62827056263,0.951141789649,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 50, 'max_depth': 5, 'random_state': 42}",1.64394072781,1.4980148111,4.0916624547,3.4656638006,0.934204110822,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 100, 'max_depth': 10, 'random_state': 42}",1.32995470467,1.03320635103,4.49696095408,3.5094866675,1.05194898095,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",1.32791343641,0.994693015151,4.55518057701,3.57333276229,1.06311824191,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 300, 'max_depth': 20, 'random_state': 42}",1.33296009399,1.009787747,4.6143101498,3.55774265509,1.06230090641,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",1.32791343641,0.994693015151,4.55518057701,3.57333276229,1.06311824191,RandomForestRegressor
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 1.0, 'random_state': 42}",1.89079588067,1.68112720087,4.97719368014,3.88553338715,1.10449393299,RidgeRegression
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 0.5, 'random_state': 42}",1.88957882725,1.67471155651,4.96759681594,3.87878176766,1.10523774421,RidgeRegression
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 0.5, 'random_state': 42}",1.88957882725,1.67471155651,4.96759681594,3.87878176766,1.10523774421,RidgeRegression
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",1.49708233367,1.32143356881,5.21539191546,3.24384973578,0.947648473312,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 1000}",5.46545252945,5.1112734734,10.9444583103,9.96409832511,2.75431219614,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",3.82703863015,3.82228004996,8.77820044111,6.99448058484,1.8784211447,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 1000}",4.71771557706,4.27353330672,10.8485993291,9.07523969509,2.40274158053,SimpleMLP
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",2.55604462901,1.99365512048,8.69101511473,5.79478645986,1.74102746668,SimpleMLP
"{'hidden_layer_sizes': (50, 30, 10), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 500}",2.52709041968,2.43855088864,6.13878759686,4.70438520114,1.21055489928,SimpleMLP
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",2.55604462901,1.99365512048,8.69101511473,5.79478645986,1.74102746668,SimpleMLP
"{'hidden_layer_sizes': (20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 300}",2.39742294804,2.24696463347,6.42546625346,4.7638869561,1.32084782451,SimpleMLP
"{'hidden_layer_sizes': (30, 20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 400}",1.9034345232,1.66356610919,4.83599577704,3.83160545635,1.0102018541,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'tanh', 'solver': 'adam', 'max_iter': 200}",1.91224160165,1.76566794327,4.93209002063,3.94190338812,1.10229977892,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 200}",5.28664266199,5.16661679848,10.7412274466,9.28030631546,2.55778561981,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'sgd', 'max_iter': 500}",3.74930595954,3.39437793465,9.85934160486,7.23449633951,1.84673595601,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'lbfgs', 'max_iter': 1000}",1.5804261577,1.42700857052,4.88433209772,3.56488826749,1.00178693,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",2.75142448329,2.5451421833,8.1267747799,5.83126888381,1.505358035,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",1.49708233367,1.32143356881,5.21539191546,3.24384973578,0.947648473312,SimpleMLP
"{'model': <class 'sklearn.svm._classes.SVR'>, 'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'epsilon': 0.1}",1.44203252618,0.954243796354,6.10249503052,4.01567340763,1.15078240742,SVM
"{'model': <class 'sklearn.svm._classes.SVR'>, 'kernel': 'linear', 'C': 0.1, 'gamma': 'auto', 'epsilon': 0.2}",2.37524011763,2.14904674549,5.94950926295,4.7823739436,1.26785501979,SVM
"{'model': <class 'sklearn.svm._classes.SVR'>, 'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'epsilon': 0.1}",1.44203252618,0.954243796354,6.10249503052,4.01567340763,1.15078240742,SVM
1.0,1.88839008322,1.67653952743,4.95794122445,3.87261710856,1.10602543422,regression
2.0,1.50703005337,1.30479295201,4.8421402177,3.11183654694,0.906954691747,regression
3.0,1.33563275777,1.15885591853,4.95746851838,3.15199794114,0.952630693574,regression
4.0,1.35278360604,1.17945379374,4.64511112405,3.17754532777,0.938314048183,regression
5.0,1.30175710696,1.11677981115,4.288840593,3.24878399801,0.958856195709,regression
6.0,1.29798710701,1.01596039208,4.50892326429,3.21753364924,0.985076455285,regression
7.0,1.24181443437,0.985274492538,4.48259086921,3.0513308021,0.959965103171,regression
8.0,1.22427284565,0.982061123118,4.20805284372,3.09264475089,0.956969672633,regression
9.0,1.24888373757,0.946976025082,3.99941165818,2.99873750114,0.922386747006,regression
10.0,1.30022913085,1.06936224419,4.23796478126,3.32205447009,0.961563553575,regression
